Clark-YY
 1.00000     0.00001
 0.99295     0.00174
 0.98031     0.00474
 0.96549     0.00813
 0.94920     0.01175
 0.93203     0.01544
 0.91440     0.01914
 0.89657     0.02280
 0.87865     0.02640
 0.86066     0.02992
 0.84265     0.03338
 0.82463     0.03675
 0.80661     0.04004
 0.78859     0.04325
 0.77057     0.04636
 0.75254     0.04938
 0.73452     0.05231
 0.71651     0.05514
 0.69851     0.05786
 0.68051     0.06047
 0.66253     0.06297
 0.64454     0.06536
 0.62656     0.06763
 0.60858     0.06977
 0.59061     0.07180
 0.57264     0.07369
 0.55469     0.07546
 0.53675     0.07708
 0.51881     0.07857
 0.50088     0.07992
 0.48296     0.08113
 0.46506     0.08218
 0.44718     0.08308
 0.42930     0.08383
 0.41144     0.08442
 0.39360     0.08485
 0.37576     0.08511
 0.35797     0.08521
 0.34021     0.08513
 0.32250     0.08488
 0.30483     0.08444
 0.28719     0.08382
 0.26964     0.08301
 0.25225     0.08202
 0.23508     0.08080
 0.21818     0.07936
 0.20158     0.07766
 0.18532     0.07566
 0.16940     0.07333
 0.15375     0.07064
 0.13832     0.06757
 0.12312     0.06411
 0.10815     0.06028
 0.09348     0.05611
 0.07940     0.05174
 0.06635     0.04731
 0.05469     0.04297
 0.04463     0.03882
 0.03617     0.03490
 0.02915     0.03122
 0.02334     0.02777
 0.01855     0.02454
 0.01458     0.02151
 0.01128     0.01868
 0.00855     0.01603
 0.00631     0.01356
 0.00446     0.01123
 0.00295     0.00902
 0.00176     0.00690
 0.00088     0.00490
 0.00030     0.00303
 0.00003     0.00128
 0.00005    -0.00043
 0.00041    -0.00216
 0.00114    -0.00386
 0.00232    -0.00551
 0.00393    -0.00708
 0.00592    -0.00853
 0.00831    -0.00989
 0.01112    -0.01118
 0.01441    -0.01242
 0.01825    -0.01361
 0.02276    -0.01476
 0.02810    -0.01587
 0.03448    -0.01691
 0.04219    -0.01788
 0.05154    -0.01874
 0.06277    -0.01945
 0.07595    -0.01998
 0.09090    -0.02032
 0.10709    -0.02049
 0.12404    -0.02049
 0.14148    -0.02034
 0.15920    -0.02007
 0.17712    -0.01968
 0.19525    -0.01921
 0.21356    -0.01866
 0.23199    -0.01807
 0.25055    -0.01743
 0.26925    -0.01678
 0.28803    -0.01612
 0.30683    -0.01547
 0.32563    -0.01483
 0.34447    -0.01420
 0.36333    -0.01359
 0.38219    -0.01299
 0.40106    -0.01241
 0.41994    -0.01184
 0.43881    -0.01129
 0.45768    -0.01076
 0.47656    -0.01025
 0.49544    -0.00975
 0.51433    -0.00927
 0.53321    -0.00879
 0.55209    -0.00833
 0.57098    -0.00789
 0.58986    -0.00746
 0.60874    -0.00704
 0.62762    -0.00664
 0.64651    -0.00624
 0.66540    -0.00585
 0.68429    -0.00548
 0.70318    -0.00511
 0.72207    -0.00476
 0.74096    -0.00442
 0.75985    -0.00408
 0.77873    -0.00376
 0.79759    -0.00345
 0.81645    -0.00315
 0.83531    -0.00286
 0.85418    -0.00259
 0.87303    -0.00232
 0.89185    -0.00205
 0.91055    -0.00179
 0.92902    -0.00152
 0.94703    -0.00124
 0.96412    -0.00093
 0.97957    -0.00059
 0.99270    -0.00023
 1.00000     0.00001
